Code,StationName,Staffed,StationType,City,State,Zip,Country,Division,PublicPhone,TicketOffice,QuikTrak,MetrolinkTVM,CheckedBaggage,AmtrakExpress,HandleUSMail,Lounge,UnaccompaniedChildren,AdvPayPPO,AmtrakTrains,Non-AmtrakTrains,DedicatedThruway,CoordinatedThruway,OtherTransportation,GroupCity,IATACode,IATAName,NonAmtrakTicketSale,TimeZone,ObserveDayLightSaving,CheckInWService,CheckInWOService,Elevation,Population
ABB,"Abbotsford-Colby, Wisconsin",N,Curbside Bus Stop only (no shelter),Colby,WI,54421,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,C,Y,15,15,1398,
ABE,"Aberdeen, Maryland",N,Station Building (with waiting room),Aberdeen,MD,21001-3701,United States,Mid-Atlantic,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,,,,,E,Y,30,30,90,18000
ABN,"Absecon, New Jersey",N,Platform with Shelter,Absecon,NJ,08201,United States,Northeast,973-275-5555,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,,,,,E,Y,30,30,20,8065
ABQ,"Albuquerque, New Mexico",Y,Station Building (with waiting room),Albuquerque,NM,87102-3405,United States,Southwest,505-842-9650,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,,,,Via Rail Canada,M,Y,60,30,4959,450000
ACA,"Antioch-Pittsburg, California",N,Platform with Shelter,Antioch,CA,94509-1122,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,P,Y,30,30,14,100586
ACY,"Atlantic City, New Jersey",N,Station Building (with waiting room),Atlantic City,NJ,08401-4106,United States,Northeast,973-491-9400,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,,,,New Jersey Transit,E,Y,30,30,7,37000
ADA,ADA Seat Removal,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
ADM,"Ardmore, Oklahoma",N,Station Building (with waiting room),Ardmore,OK,73401-7016,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,871,24810
AGM,"Augusta, Maine",N,Curbside Bus Stop only (no shelter),Augusta,ME,04330,United States,Northeast,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,225,
AHL,"Ashland, Oregon",N,Curbside Bus Stop only (no shelter),Ashland,OR,97520,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,,,,Bus Company,P,Y,30,30,1954,20881
