date,usr_id,days_active,cross_sell
2018-01-31,XHN10000000,5,1
2018-01-31,XHN10000001,7,1
2018-01-31,XHN10000002,16,1
2018-01-31,XHN10000003,27,1
2018-01-31,XHN10000004,9,0
2018-01-31,XHN10000005,16,1
2018-01-31,XHN10000006,23,1
2018-01-31,XHN10000007,15,0
2018-01-31,XHN10000008,10,1
2018-01-31,XHN10000009,19,1
2018-01-31,XHN10000010,1,1
2018-01-31,XHN10000011,9,1
2018-01-31,XHN10000012,6,1
2018-01-31,XHN10000013,21,0
2018-01-31,XHN10000014,4,1
2018-01-31,XHN10000015,1,0
2018-01-31,XHN10000016,3,1
2018-01-31,XHN10000017,6,1
2018-01-31,XHN10000018,6,1
2018-01-31,XHN10000019,2,0
2018-01-31,XHN10000020,4,1
2018-01-31,XHN10000021,4,1
2018-01-31,XHN10000022,9,1
2018-01-31,XHN10000023,9,1
2018-01-31,XHN10000024,3,0
2018-01-31,XHN10000025,22,1
2018-01-31,XHN10000026,9,1
2018-01-31,XHN10000027,5,1
2018-01-31,XHN10000028,4,1
2018-01-31,XHN10000029,1,1
2018-01-31,XHN10000030,11,0
2018-01-31,XHN10000031,17,1
2018-01-31,XHN10000032,4,1
2018-01-31,XHN10000033,14,1
2018-01-31,XHN10000034,22,1
2018-01-31,XHN10000035,7,1
2018-01-31,XHN10000036,16,0
2018-01-31,XHN10000037,16,1
2018-01-31,XHN10000038,17,1
2018-01-31,XHN10000039,14,1
2018-01-31,XHN10000040,10,0
2018-01-31,XHN10000041,7,0
2018-01-31,XHN10000042,9,0
2018-01-31,XHN10000043,12,1
2018-01-31,XHN10000044,5,1
2018-01-31,XHN10000045,12,1
2018-01-31,XHN10000046,6,1
2018-01-31,XHN10000047,7,1
2018-01-31,XHN10000048,4,1
2018-01-31,XHN10000049,3,1
2018-01-31,XHN10000050,13,1
2018-01-31,XHN10000051,1,0
2018-01-31,XHN10000052,17,1
2018-01-31,XHN10000053,14,1
2018-01-31,XHN10000054,4,0
2018-01-31,XHN10000055,12,1
2018-01-31,XHN10000056,5,1
2018-01-31,XHN10000057,5,1
2018-01-31,XHN10000058,10,1
2018-01-31,XHN10000059,8,1
2018-01-31,XHN10000060,20,1
2018-01-31,XHN10000061,9,1
2018-01-31,XHN10000062,8,1
2018-01-31,XHN10000063,3,1
2018-01-31,XHN10000064,15,1
2018-01-31,XHN10000065,4,0
2018-01-31,XHN10000066,2,1
2018-01-31,XHN10000067,7,1
2018-01-31,XHN10000068,2,1
2018-01-31,XHN10000069,14,1
2018-01-31,XHN10000070,24,1
2018-01-31,XHN10000071,4,1
2018-01-31,XHN10000072,10,0
2018-01-31,XHN10000073,6,1
2018-01-31,XHN10000074,8,1
2018-01-31,XHN10000075,11,0
2018-01-31,XHN10000076,12,1
2018-01-31,XHN10000077,6,0
2018-01-31,XHN10000078,8,1
2018-01-31,XHN10000079,3,1
2018-01-31,XHN10000080,7,1
2018-01-31,XHN10000081,20,1
2018-01-31,XHN10000082,19,1
2018-01-31,XHN10000083,5,1
2018-01-31,XHN10000084,1,1
2018-01-31,XHN10000085,3,1
2018-01-31,XHN10000086,6,1
2018-01-31,XHN10000087,13,1
2018-01-31,XHN10000088,25,1
2018-01-31,XHN10000089,15,1
2018-01-31,XHN10000090,7,0
2018-01-31,XHN10000091,5,1
2018-01-31,XHN10000092,5,1
2018-01-31,XHN10000093,6,0
2018-01-31,XHN10000094,9,0
2018-01-31,XHN10000095,13,1
2018-01-31,XHN10000096,4,1
2018-01-31,XHN10000097,9,1
2018-01-31,XHN10000098,14,1
2018-01-31,XHN10000099,5,1
2018-01-31,XHN10000100,8,1
2018-01-31,XHN10000101,17,1
2018-01-31,XHN10000102,12,0
2018-01-31,XHN10000103,14,1
2018-01-31,XHN10000104,26,1
2018-01-31,XHN10000105,2,0
2018-01-31,XHN10000106,3,1
2018-01-31,XHN10000107,4,1
2018-01-31,XHN10000108,6,0
2018-01-31,XHN10000109,18,1
2018-01-31,XHN10000110,1,0
2018-01-31,XHN10000111,11,1
2018-01-31,XHN10000112,19,1
2018-01-31,XHN10000113,8,0
2018-01-31,XHN10000114,6,0
2018-01-31,XHN10000115,5,1
2018-01-31,XHN10000116,20,0
2018-01-31,XHN10000117,8,0
2018-01-31,XHN10000118,5,1
2018-01-31,XHN10000119,21,1
2018-01-31,XHN10000120,8,1
2018-01-31,XHN10000121,2,0
2018-01-31,XHN10000122,15,1
