application_number,funding_year,state,form_version,window_status,status,category,application_name,address1,city,zipcode,entity_number,fcc_number,applicant_type,enrollment,nslp_count,nslp_percent,locale,request_amount,congress_district
201001330,2020,OH,Original,In Window,Certified,Category1,Bath Local School,2650 Bible Rd,Lima,45801,130093,2918548,School District,1716,759,44.00%,Urban,"$15,840.00",Congressional District 4
201001293,2020,OH,Original,In Window,Certified,Category1,Federal Hocking Local Sch Dist,8461 State Route 144,Stewart,45778,130089,12041372,School District,1041,746,72.00%,Rural,"$40,643.52",Congressional District 15
201000596,2020,OH,Original,In Window,Certified,Category1,Independence School District,7733 Stone Rd,Cleveland,44131,129504,11015799,School District,1029,90,9.00%,Urban,"$15,160.03",Congressional District 14
201001645,2020,OH,Original,In Window,Certified,Category1,Berea City Public Schools,390 Fair Street,Berea,44017,129405,13390232,School District,6429,2012,31.00%,Urban,"$21,600.00",Congressional District 9
201000335,2020,OH,Original,In Window,Certified,Category1,Metro Catholic,1910 W 54th Street,Cleveland,44102,47679,4166872,School District,470,470,100.00%,Urban,"$45,000.14",Congressional District 11
201001718,2020,OH,Original,In Window,Certified,Category1,Cloverleaf Local School Dist,8525 Friendsville Rd,Lodi,44254,129545,2913846,School District,2308,751,33.00%,Rural,"$23,904.00",Congressional District 16
201001809,2020,OH,Original,In Window,Certified,Category1,Huber Heights City School Dist,5954 Longford Rd,Dayton,45424,129979,13398193,School District,5747,2686,47.00%,Urban,"$81,727.20",Congressional District 10
201001168,2020,OH,Original,In Window,Certified,Category1,Jefferson Area Local Sch Dist,121 South Poplar St,Jefferson,44047,129429,2914190,School District,1645,768,47.00%,Rural,"$37,417.80",Congressional District 14
201001779,2020,OH,Original,In Window,Certified,Category1,Continental Local School Dist,5211 State Route 634,Continental,45831,130117,8302275,School District,564,214,38.00%,Rural,"$13,440.00",Congressional District 5
201016705,2020,OH,Original,In Window,Certified,Category1,Midwest Regional Esc,121 South Opera Street,Bellefontaine,43311,16081823,24381527,School District,10551,3294,31.00%,Rural,"$10,879.20",Congressional District 4
201003849,2020,OH,Original,In Window,Certified,Category1,Groveport Madison Local Schools,4400 Marketing Place,Groveport,43125,129135,2995769,School District,5965,3224,54.00%,Urban,"$68,292.19",Congressional District 3
201040877,2020,OH,Original,In Window,Certified,Category1,Labrae Local School District,1001 N Leavitt Rd,Leavittsburg,44430,129599,12186094,School District,1079,559,52.00%,Urban,"$30,691.01",Congressional District 13
201001827,2020,OH,Original,In Window,Certified,Category1,Huron City School District,712 Cleveland Rd E,Huron,44839,129745,11874955,School District,1273,353,28.00%,Urban,"$40,350.00",Congressional District 9
201027453,2020,OH,Original,In Window,Certified,Category1,Green Local School District,4070 Gallia Pike,Frankln Frnce,45629,130013,12731907,School District,552,339,61.00%,Rural,"$18,240.00",Congressional District 6
201002381,2020,OH,Original,In Window,Certified,Category1,Indian Hill Exemp Vlg Sch Dist,6855 Drake Rd,Cincinnati,45243,129892,11925070,School District,2129,100,5.00%,Urban,"$15,968.02",Congressional District 1
201002521,2020,OH,Original,In Window,Certified,Category1,Western Reserve Board Of Education,3765 Rt 20 E,Collins,44826,129781,2914224,School District,935,423,45.00%,Rural,"$23,184.00",Congressional District 4
201002207,2020,OH,Original,In Window,Certified,Category1,Otsego Local School District,"18505 Tontogany Creek Road, Suite 1",Bowling Green,43402,129302,11966017,School District,1560,394,25.00%,Rural,"$18,477.65",Congressional District 5
201045587,2020,OH,Original,In Window,Certified,Category1,Lisbon Exempted Vlg Sch Dist,317 N Market St,Lisbon,44432,129602,11882487,School District,926,502,54.00%,Rural,"$29,664.00",Congressional District 6
201002083,2020,OH,Original,In Window,Certified,Category1,Greenville City School Dist,Memorial Hall 215 W 4th Street,Greenville,45331,129923,2917391,School District,2521,1183,47.00%,Rural,"$34,867.00",Congressional District 8
201027559,2020,OH,Original,In Window,Certified,Category1,Bloomfield-Mespo School Dist,2077 Park Rd W,N Bloomfield,44450,129617,7941131,School District,248,127,51.00%,Rural,"$17,956.80",Congressional District 13
201036446,2020,OH,Original,In Window,Certified,Category1,Wellsville Local School Dist,929 Center St,Wellsville,43968,129390,12052486,School District,785,785,100.00%,Urban,"$17,861.47",Congressional District 6
201003751,2020,OH,Original,In Window,Certified,Category1,Olmsted Falls City Schools,26937 Bagley Road,Olmsted Falls,44138,129509,12943932,School District,3526,554,16.00%,Urban,"$12,540.00",Congressional District 16
201003693,2020,OH,Original,In Window,Certified,Category1,North Canton City School Dist,525 7th St Ne,North Canton,44720,129709,20287777,School District,4178,871,21.00%,Urban,"$76,288.50",Congressional District 16
201003380,2020,OH,Original,In Window,Certified,Category1,Eastern Local Schools,11479 Us 62,Winchester,45697,129863,11652179,School District,1327,667,50.00%,Rural,"$43,248.00",Congressional District 2
201001002,2020,OH,Original,In Window,Certified,Category1,Liberty-Benton School District,9190 County Road 9,Findlay,45840,130123,2914422,School District,1627,348,21.00%,Rural,"$19,080.00",Congressional District 5
201003415,2020,OH,Original,In Window,Certified,Category1,South-Western City School Dist,3805 Marlane Drive,Grove City,43123,129133,12997409,School District,24374,13506,55.00%,Urban,"$331,368.86",Congressional District 15
201003875,2020,OH,Original,In Window,Certified,Category1,Xenia City School District,819 Colorado Dr,Xenia,45385,129966,14149983,School District,3844,3289,86.00%,Urban,"$75,369.64",Congressional District 10
201045588,2020,OH,Original,In Window,Certified,Category1,Springboro Comm City Sch Dist,1685 S Main Street,Springboro,45066,129821,14131742,School District,6354,443,7.00%,Urban,"$24,465.60",Congressional District 1
201004084,2020,OH,Original,In Window,Certified,Category1,Bryan City School District,1350 Fountain Grove Drive,Bryan,43506,129259,12996682,School District,1899,709,37.00%,Rural,"$21,346.50",Congressional District 5
201031596,2020,OH,Original,In Window,Certified,Category1,Fort Frye Local School Dist,"Po Box 1089, 420 5th St",Beverly,45715,130071,2996379,School District,906,473,52.00%,Urban,"$58,304.45",Congressional District 15
201004111,2020,OH,Original,In Window,Certified,Category1,Mogadore Local School District,1 S Cleveland Ave,Mogadore,44260,129555,11713682,School District,981,314,32.00%,Urban,"$19,920.00",Congressional District 16
201004100,2020,OH,Original,In Window,Certified,Category1,Eastwood Local School District,120 E College Ave,Pemberville,43450,129248,12149795,School District,1378,215,16.00%,Urban,"$12,888.00",Congressional District 5
201002525,2020,OH,Original,In Window,Certified,Category1,Bethel Tate Local School Dist,675 West Plane Street,Bethel,45106,129830,2993806,School District,1502,553,37.00%,Rural,"$24,920.00",Congressional District 2
